strain	Genotype	country	Host	Tissue_Specimen_Source	date
NC_038308.1		USA			
LC889288.1		Japan	Homo sapiens	oronasopharynx	2023
LC889289.1		Japan	Homo sapiens	oronasopharynx	2023
LC889290.1		Japan	Homo sapiens	oronasopharynx	2023
PX048940.1		USA	Homo sapiens		2022-10-13
PX048941.1		USA	Homo sapiens		2022-09-12
PX048942.1		USA	Homo sapiens		2022-10-15
PQ612496.1	Clade	France	Homo sapiens	lung	2024-09-24
PQ612497.1	Clade	France	Homo sapiens	oronasopharynx	2024-09-24
PQ612498.1	Clade	France	Homo sapiens	oronasopharynx	2024-09-05
PQ612499.1	Clade	France	Homo sapiens	oronasopharynx	2024-09-05
PQ612500.1	Clade	France	Homo sapiens	oronasopharynx	2024-09-12
PQ612501.1	Clade	France	Homo sapiens	lung	2024-09-07
PQ612502.1	Clade	France	Homo sapiens	oronasopharynx	2024-09-03
PQ612503.1	Clade	France	Homo sapiens	oronasopharynx	2024-09-13
PQ612504.1	Clade	France	Homo sapiens	oronasopharynx	2024-09-06
PQ612505.1	Clade	France	Homo sapiens	oronasopharynx	2024-09-08
PQ612506.1	Clade	France	Homo sapiens	oronasopharynx	2022-08-19
PQ612507.1	Clade	France	Homo sapiens	oronasopharynx	2022-08-20
PQ612508.1	Clade	France	Homo sapiens	oronasopharynx	2022-09-09
PQ612509.1	Clade	France	Homo sapiens	oronasopharynx	2022-09-12
PQ612510.1	Clade	France	Homo sapiens	oronasopharynx	2022-09-14
PQ612511.1	Clade	France	Homo sapiens	oronasopharynx	2022-09-14
PQ612512.1	Clade	France	Homo sapiens	oronasopharynx	2022-09-19
PQ612513.1	Clade	France	Homo sapiens	lung	2022-09-22
PQ612514.1	Clade	France	Homo sapiens	oronasopharynx	2022-09-26
PQ612515.1	Clade	France	Homo sapiens	oronasopharynx	2022-09-28
PQ612516.1	Clade	France	Homo sapiens	oronasopharynx	2022-09-30
PQ612517.1	Clade	France	Homo sapiens	oronasopharynx	2022-10-03
PQ612518.1	Clade	France	Homo sapiens	oronasopharynx	2022-10-11
PQ612519.1	Clade	France	Homo sapiens	oronasopharynx	2022-10-14
